1.21116,3.02201,7
1.28681,-0.153687,7
-2.92943,-3.06966,7
1.01837,1.13097,7
2.62317,3.14087,6
-1.34025,-2.31207,6
-1.81702,0.128571,6
0.458724,-2.57461,6
-2.42462,1.09591,5
-2.22043,-0.433784,5
2.28105,3.53142,5
-3.03739,-3.80022,5
-1.53402,-0.692625,4
-1.39333,0.91939,4
-1.89413,-1.13177,4
1.21017,1.19954,3
2.91451,0.224213,3
-2.40089,0.101894,3
-2.51962,-0.225166,2
-2.75504,-2.16965,2
0.911631,-1.68437,2
0.999413,1.69364,1
1.63516,-0.132599,1
-0.608623,0.0363669,0
1.64903,-0.530396,0
-0.918593,0.815999,-1
-0.266266,0.0977875,-1
-0.871348,1.35199,-2
-1.18191,1.78632,-2
1.06209,-1.05629,-3
-0.0836659,-1.25613,-3
0.239303,-0.313608,-4
-1.47165,1.50396,-4
0.13702,-0.559093,-5
-0.218198,0.120536,-6
0.371269,-0.68019,-7
-0.935857,3.35222,10.7515
2.65165,-3.34319,-11.6299
5.10735,5.94847,2.21757
5.16746,6.30467,6.83634
